,uv,temp,drain_piezo,humidity,maxdailygust,soilmoisture2,solarradiation
157,0.0,20.222222222222225,0.0,54.0,16.560149759999998,30.0,56.91
158,0.0,20.222222222222225,0.0,54.0,16.560149759999998,30.0,54.46
159,0.0,20.222222222222225,0.0,54.0,16.560149759999998,30.0,51.46
160,0.0,20.222222222222225,0.0,55.0,16.560149759999998,30.0,48.22
161,0.0,20.11111111111111,0.0,55.0,16.560149759999998,30.0,45.15
162,0.0,20.11111111111111,0.0,54.0,16.560149759999998,30.0,42.86
163,0.0,20.0,0.0,54.0,16.560149759999998,30.0,40.88
164,0.0,20.0,0.0,55.0,16.560149759999998,30.0,39.15
165,0.0,20.0,0.0,55.0,16.560149759999998,30.0,37.41
166,0.0,20.0,0.0,54.0,16.560149759999998,30.0,36.23
167,0.0,20.0,0.0,55.0,16.560149759999998,30.0,35.52
168,0.0,19.88888888888889,0.0,55.0,16.560149759999998,30.0,34.41
169,0.0,19.77777777777777,0.0,55.0,16.560149759999998,30.0,33.86
170,0.0,19.77777777777777,0.0,55.0,16.560149759999998,30.0,33.23
171,0.0,19.77777777777777,0.0,55.0,16.560149759999998,30.0,32.36
172,0.0,19.77777777777777,0.0,55.0,16.560149759999998,30.0,31.89
173,0.0,19.77777777777777,0.0,55.0,16.560149759999998,30.0,31.33
174,0.0,19.72222222222222,0.0,56.0,16.560149759999998,30.0,30.78
175,0.0,19.72222222222222,0.0,55.0,16.560149759999998,30.0,30.54
176,0.0,19.72222222222222,0.0,55.0,16.560149759999998,30.0,30.23
177,0.0,19.61111111111111,0.0,56.0,16.560149759999998,30.0,29.76
178,0.0,19.61111111111111,0.0,56.0,16.560149759999998,30.0,29.52
179,0.0,19.5,0.0,56.0,16.560149759999998,30.0,28.73
180,0.0,19.5,0.0,57.0,16.560149759999998,30.0,27.94
181,0.0,19.5,0.0,56.0,16.560149759999998,30.0,27.23
182,0.0,19.388888888888893,0.0,57.0,16.560149759999998,30.0,26.84
183,0.0,19.388888888888893,0.0,57.0,16.560149759999998,30.0,26.52
184,0.0,19.388888888888893,0.0,56.0,16.560149759999998,30.0,26.05
185,0.0,19.27777777777778,0.0,57.0,16.560149759999998,30.0,25.65
186,0.0,19.27777777777778,0.0,57.0,16.560149759999998,30.0,25.34
187,0.0,19.27777777777778,0.0,57.0,16.560149759999998,30.0,24.94
188,0.0,19.27777777777778,0.0,57.0,16.560149759999998,30.0,24.63
189,0.0,19.27777777777778,0.0,57.0,16.560149759999998,30.0,24.23
190,0.0,19.222222222222214,0.0,57.0,16.560149759999998,30.0,23.84
