Stationsindex; Höhe in m;Breite   ;Länge    ;Name                                                                            ;Bundesland                                                                
         1694;        59;    53.61;    12.10;Goldberg                                                                        ;Mecklenburg-Vorpommern                                                    
         1721;       506;    49.66;    11.22;Gräfenberg-Kasberg                                                              ;Bayern                                                                    
         1735;       628;    48.79;    13.63;Grainet-Rehberg                                                                 ;Bayern                                                                    
         1736;        26;    53.57;    10.68;Grambek                                                                         ;Schleswig-Holstein                                                        
         1757;         2;    54.10;    13.41;Greifswald                                                                      ;Mecklenburg-Vorpommern                                                    
         1759;        12;    54.24;    13.91;Greifswalder Oie                                                                ;Mecklenburg-Vorpommern                                                    
         1766;        48;    52.13;     7.70;Münster/Osnabrück                                                               ;Nordrhein-Westfalen                                                       
         1792;        27;    52.76;     7.48;Groß Berßen                                                                     ;Niedersachsen                                                             
         1803;        35;    54.07;    12.32;Groß Lüsewitz                                                                   ;Mecklenburg-Vorpommern                                                    
         1863;       258;    50.27;     9.19;Gründau-Breitenborn                                                             ;Hessen                                                                    
         1869;        56;    53.32;    13.93;Grünow                                                                          ;Brandenburg                                                               
         1886;       444;    48.49;    10.26;Günzburg                                                                        ;Bayern                                                                    
         1964;       328;    49.94;     6.38;Olsdorf                                                                         ;Rheinland-Pfalz                                                           
         1975;        11;    53.63;     9.99;Hamburg-Fuhlsbüttel                                                             ;Hamburg                                                                   
         1981;         4;    53.48;     9.90;Hamburg-Neuwiedenthal                                                           ;Hamburg                                                                   
         2014;        55;    52.46;     9.68;Hannover                                                                        ;Niedersachsen                                                             
         2023;       501;    48.79;    10.71;Harburg                                                                         ;Bayern                                                                    
         2039;       203;    51.90;    10.57;Harzburg, Bad                                                                   ;Niedersachsen                                                             
         2044;       404;    51.65;    11.14;Harzgerode                                                                      ;Sachsen-Anhalt                                                            
         2074;       518;    48.38;     8.98;Hechingen                                                                       ;Baden-Württemberg                                                         
         2110;        57;    51.04;     6.10;Heinsberg-Schleiden                                                             ;Nordrhein-Westfalen                                                       
         2115;         4;    54.17;     7.89;Helgoland                                                                       ;Schleswig-Holstein                                                        
         2171;       272;    50.85;     9.74;Hersfeld, Bad                                                                   ;Hessen                                                                    
         2174;       236;    51.63;    10.37;Herzberg                                                                        ;Niedersachsen                                                             
         2201;         1;    54.58;    13.10;Hiddensee-Vitte                                                                 ;Mecklenburg-Vorpommern                                                    
         2211;       295;    50.74;     7.65;Hilgenroth                                                                      ;Rheinland-Pfalz                                                           
         2252;       271;    50.90;    14.75;Bertsdorf-Hörnitz                                                               ;Sachsen                                                                   
         2261;       565;    50.31;    11.88;Hof                                                                             ;Bayern                                                                    
         2290;       977;    47.80;    11.01;Hohenpeißenberg                                                                 ;Bayern                                                                    
         2303;        10;    54.32;     9.54;Hohn                                                                            ;Schleswig-Holstein                                                        
         2306;         8;    54.32;    10.67;Hohwacht                                                                        ;Schleswig-Holstein                                                        
         2315;        80;    51.77;    13.17;Holzdorf-Bernsdorf                                                              ;Brandenburg                                                               
         2319;       685;    47.88;    11.70;Holzkirchen                                                                     ;Bayern                                                                    
         2323;       110;    51.85;     9.50;Bevern, Kr. Holzminden                                                          ;Niedersachsen                                                             
         2362;       328;    50.57;     7.48;Hümmerich                                                                       ;Rheinland-Pfalz                                                           
         2385;       376;    49.69;     7.33;Idar-Oberstein                                                                  ;Rheinland-Pfalz                                                           
         2410;       364;    48.71;    11.54;Ingolstadt-Manching                                                             ;Bayern                                                                    
         2429;        20;    53.99;     9.57;Itzehoe                                                                         ;Schleswig-Holstein                                                        
         2437;        21;    54.46;     9.52;Schleswig-Jagel                                                                 ;Schleswig-Holstein                                                        
         2444;       155;    50.93;    11.58;Jena (Sternwarte)                                                               ;Thüringen                                                                 
         2480;       108;    50.06;     8.99;Kahl/Main                                                                       ;Bayern                                                                    
         2483;       839;    51.18;     8.49;Kahler Asten                                                                    ;Nordrhein-Westfalen                                                       
         2485;       489;    48.92;     9.69;Kaisersbach-Cronhütte                                                           ;Baden-Württemberg                                                         
         2486;       271;    49.43;     7.76;Kaiserslautern                                                                  ;Rheinland-Pfalz                                                           
         2497;       505;    50.50;     6.53;Kall-Sistig                                                                     ;Nordrhein-Westfalen                                                       
         2559;       705;    47.72;    10.33;Kempten                                                                         ;Bayern                                                                    
         2564;        28;    54.38;    10.14;Kiel-Holtenau                                                                   ;Schleswig-Holstein                                                        
         2575;       432;    49.18;     9.98;Kirchberg/Jagst-Herboldshausen                                                  ;Baden-Württemberg                                                         
         2578;        14;    54.00;    11.43;Kirchdorf/Poel                                                                  ;Mecklenburg-Vorpommern                                                    
         2597;       282;    50.22;    10.08;Kissingen, Bad                                                                  ;Bayern                                                                    
         2600;       193;    49.74;    10.18;Kitzingen                                                                       ;Bayern                                                                    
         2601;       822;    50.22;     8.45;Kleiner Feldberg/Taunus                                                         ;Hessen                                                                    
         2618;       732;    50.85;    10.48;Kleiner Inselsberg                                                              ;Thüringen                                                                 
         2627;       128;    51.56;    13.89;Schipkau-Klettwitz                                                              ;Brandenburg                                                               
         2629;        46;    51.76;     6.10;Kleve                                                                           ;Nordrhein-Westfalen                                                       
         2638;       973;    48.11;     8.75;Klippeneck                                                                      ;Baden-Württemberg                                                         
         2641;        90;    51.52;    12.91;Klitzschen bei Torgau                                                           ;Sachsen                                                                   
         2667;        91;    50.86;     7.16;Köln/Bonn                                                                       ;Nordrhein-Westfalen                                                       
         2680;       289;    50.28;    10.45;Königshofen, Bad                                                                ;Bayern                                                                    
         2700;       416;    48.83;    11.49;Kösching                                                                        ;Bayern                                                                    
         2704;        76;    51.75;    12.01;Köthen (Anhalt)                                                                 ;Sachsen-Anhalt                                                            
         2708;       742;    47.67;    11.08;Kohlgrub, Bad (Rosshof)                                                         ;Bayern                                                                    
         2712;       428;    47.70;     9.13;Konstanz                                                                        ;Baden-Württemberg                                                         
         2750;       310;    50.25;    11.32;Kronach                                                                         ;Bayern                                                                    
         2773;       415;    49.43;    11.90;Kümmersbruck                                                                    ;Bayern                                                                    
         2794;        40;    52.94;    12.41;Kyritz                                                                          ;Brandenburg                                                               
         2796;        41;    53.92;    12.28;Laage-Kronskamp                                                                 ;Mecklenburg-Vorpommern                                                    
         2812;       156;    48.36;     7.83;Lahr                                                                            ;Baden-Württemberg                                                         
         2814;       687;    48.51;     9.76;Merklingen                                                                      ;Baden-Württemberg                                                         
         2856;        91;    51.92;    13.09;Langenlipsdorf                                                                  ;Brandenburg                                                               
         2878;       117;    51.39;    11.88;Lauchstädt, Bad                                                                 ;Sachsen-Anhalt                                                            
         2886;       539;    48.22;     9.91;Laupheim                                                                        ;Baden-Württemberg                                                         
         2905;       550;    48.18;    10.85;Lechfeld                                                                        ;Bayern                                                                    
         2907;         7;    54.79;     8.95;Leck                                                                            ;Schleswig-Holstein                                                        
         2925;       356;    51.39;    10.31;Leinefelde                                                                      ;Thüringen                                                                 
         2928;       138;    51.32;    12.45;Leipzig-Holzhausen                                                              ;Sachsen                                                                   
         2932;       131;    51.43;    12.24;Leipzig/Halle                                                                   ;Sachsen                                                                   
         2947;       286;    51.13;     8.04;Lennestadt-Theten                                                               ;Nordrhein-Westfalen                                                       
         2951;        20;    53.10;    11.49;Lenzen/Elbe                                                                     ;Brandenburg                                                               
         2953;       854;    47.86;     8.23;Lenzkirch-Ruhbühl                                                               ;Baden-Württemberg                                                         
         2968;        43;    50.99;     6.98;Köln-Stammheim                                                                  ;Nordrhein-Westfalen                                                       
         2985;       321;    50.94;    14.21;Lichtenhain-Mittelndorf                                                         ;Sachsen                                                                   
         3015;        98;    52.21;    14.12;Lindenberg                                                                      ;Brandenburg                                                               
         3028;       157;    51.79;     8.84;Lippspringe, Bad                                                                ;Nordrhein-Westfalen                                                       
         3031;        92;    51.63;     8.39;Lippstadt-Bökenförde                                                            ;Nordrhein-Westfalen                                                       
         3032;        25;    55.01;     8.41;List auf Sylt                                                                   ;Schleswig-Holstein                                                        
         3034;       496;    50.45;    11.64;Lobenstein, Bad                                                                 ;Thüringen                                                                 
         3042;       230;    50.56;     8.24;Löhnberg-Obershausen                                                            ;Hessen                                                                    
         3083;        57;    51.93;    13.88;Lübben-Blumenfelde                                                              ;Brandenburg                                                               
         3086;        15;    53.80;    10.70;Lübeck-Blankensee                                                               ;Schleswig-Holstein                                                        
         3093;        16;    52.97;    11.14;Lüchow                                                                          ;Niedersachsen                                                             
         3098;       387;    51.25;     7.64;Lüdenscheid                                                                     ;Nordrhein-Westfalen                                                       
         3126;        79;    52.10;    11.58;Magdeburg                                                                       ;Sachsen-Anhalt                                                            
         3147;       390;    48.76;    12.21;Mallersdorf-Pfaffenberg-Oberlindhart                                            ;Bayern                                                                    
         3155;       413;    50.10;     6.80;Manderscheid-Sonnenhof                                                          ;Rheinland-Pfalz                                                           
         3158;        12;    52.55;    14.55;Manschnow                                                                       ;Brandenburg                                                               
         3164;       187;    50.85;     8.78;Cölbe, Kr. Marburg-Biedenkopf                                                   ;Hessen                                                                    
         3166;       639;    50.65;    13.15;Marienberg                                                                      ;Sachsen                                                                   
         3167;       547;    50.66;     7.96;Marienberg, Bad                                                                 ;Rheinland-Pfalz                                                           
         3181;       360;    49.49;    10.63;Markt Erlbach-Hagenhofen                                                        ;Bayern                                                                    
         3196;        81;    53.32;    11.93;Marnitz                                                                         ;Mecklenburg-Vorpommern                                                    
         3204;       429;    50.73;    10.88;Martinroda                                                                      ;Thüringen                                                                 
         3226;       107;    51.73;    11.51;Aschersleben-Mehringen                                                          ;Sachsen-Anhalt                                                            
         3231;       450;    50.56;    10.38;Meiningen                                                                       ;Thüringen                                                                 
         3234;       158;    51.13;    13.43;Klipphausen-Garsebach                                                           ;Sachsen                                                                   
         3244;       614;    47.98;    10.14;Memmingen                                                                       ;Bayern                                                                    
         3254;        19;    52.72;     7.32;Meppen                                                                          ;Niedersachsen                                                             
         3268;       900;    48.17;     8.94;Meßstetten-Appental                                                             ;Baden-Württemberg                                                         
         3271;       314;    48.86;    12.92;Metten                                                                          ;Bayern                                                                    
         3278;       354;    48.54;     9.27;Metzingen                                                                       ;Baden-Württemberg                                                         
         3284;       240;    49.67;     9.01;Michelstadt                                                                     ;Hessen                                                                    
         3287;       453;    49.72;     9.10;Michelstadt-Vielbrunn                                                           ;Hessen                                                                    
         3289;       356;    50.73;    11.78;Schmieritz-Weltwitz                                                             ;Thüringen                                                                 
         3319;       239;    49.76;     9.25;Röllbach                                                                        ;Bayern                                                                    
         3321;        76;    51.13;     6.36;Mönchengladbach-Hilderath                                                       ;Nordrhein-Westfalen                                                       
         3340;       265;    50.44;     7.81;Montabaur                                                                       ;Rheinland-Pfalz                                                           
         3348;       241;    51.72;     9.84;Moringen-Lutterbeck                                                             ;Niedersachsen                                                             
         3362;       243;    48.97;     8.87;Mühlacker                                                                       ;Baden-Württemberg                                                         
         3366;       406;    48.28;    12.50;Mühldorf                                                                        ;Bayern                                                                    
         3376;        63;    52.52;    14.12;Müncheberg                                                                      ;Brandenburg                                                               
         3379;       515;    48.16;    11.54;München-Stadt                                                                   ;Bayern                                                                    
         3402;       755;    48.39;     9.48;Münsingen-Apfelstetten                                                          ;Baden-Württemberg                                                         
         3426;       127;    51.57;    14.70;Muskau, Bad                                                                     ;Sachsen                                                                   
         3442;       149;    50.36;     8.75;Nauheim, Bad                                                                    ;Hessen                                                                    
         3484;       380;    48.71;    11.21;Neuburg an der Donau                                                            ;Bayern                                                                    
         3485;       486;    48.31;    10.38;Neuburg/Kammel-Langenhaslach                                                    ;Bayern                                                                    
         3490;       111;    50.54;     7.09;Neuenahr, Bad-Ahrweiler                                                         ;Rheinland-Pfalz                                                           
         3509;        78;    53.10;    13.04;Stechlin-Menz                                                                   ;Brandenburg                                                               
         3513;       845;    50.50;    11.13;Neuhaus am Rennweg                                                              ;Thüringen                                                                 
         3527;       500;    50.89;     9.41;Neukirchen-Hauptschwenda                                                        ;Hessen                                                                    
         3540;       195;    50.85;     7.37;Neunkirchen-Seelscheid-Krawinkel                                                ;Nordrhein-Westfalen                                                       
         3545;       236;    49.34;     7.23;Neunkirchen-Wellesweiler                                                        ;Saarland                                                                  
         3571;       452;    49.82;    11.86;Neustadt am Kulm-Filchendorf                                                    ;Bayern                                                                    
         3591;       350;    50.67;     6.42;Nideggen-Schmidt                                                                ;Nordrhein-Westfalen                                                       
         3603;       459;    49.39;     9.97;Niederstetten                                                                   ;Baden-Württemberg                                                         
         3612;        25;    52.67;     9.22;Nienburg                                                                        ;Niedersachsen                                                             
         3621;       435;    48.83;    10.51;Reimlingen                                                                      ;Bayern                                                                    
         3623;       110;    50.83;     6.66;Nörvenich-Niederbolheim                                                         ;Nordrhein-Westfalen                                                       
         3631;        11;    53.71;     7.15;Norderney                                                                       ;Niedersachsen                                                             
         3639;        26;    53.76;     8.66;Nordholz-Wanhöden                                                               ;Niedersachsen                                                             
         3660;       485;    50.36;     6.87;Nürburg-Barweiler                                                               ;Rheinland-Pfalz                                                           
         3667;       369;    49.43;    11.25;Nürnberg-Netzstall                                                              ;Bayern                                                                    
         3668;       314;    49.50;    11.05;Nürnberg                                                                        ;Bayern                                                                    
         3679;       518;    47.62;    12.17;Kiefersfelden-Gach                                                              ;Bayern                                                                    
         3730;       806;    47.40;    10.28;Oberstdorf                                                                      ;Bayern                                                                    
         3734;       232;    49.13;     9.35;Obersulm-Willsbach                                                              ;Baden-Württemberg                                                         
         3739;       596;    49.45;    12.44;Oberviechtach                                                                   ;Bayern                                                                    
         3761;       276;    49.21;     9.52;Öhringen                                                                        ;Baden-Württemberg                                                         
         3811;       150;    51.30;    13.09;Oschatz                                                                         ;Sachsen                                                                   
         3821;       244;    51.09;    11.93;Osterfeld                                                                       ;Sachsen-Anhalt                                                            
         3836;       314;    50.45;    10.22;Ostheim v.d. Rhön                                                               ;Bayern                                                                    
         3857;       886;    47.64;    10.39;Oy-Mittelberg-Petersthal                                                        ;Bayern                                                                    
         3875;       549;    49.15;    11.69;Parsberg/Oberpfalz-Eglwang                                                      ;Bayern                                                                    
         3897;         2;    54.09;    10.88;Pelzerhaken                                                                     ;Schleswig-Holstein                                                        
         3904;       152;    49.54;     6.38;Perl-Nennig                                                                     ;Saarland                                                                  
         3925;       332;    48.93;     8.70;Pforzheim-Ispringen                                                             ;Baden-Württemberg                                                         
         3927;       630;    47.93;     9.29;Pfullendorf                                                                     ;Baden-Württemberg                                                         
         3939;       385;    49.19;     7.59;Pirmasens                                                                       ;Rheinland-Pfalz                                                           
         3946;       387;    50.48;    12.13;Plauen                                                                          ;Sachsen                                                                   
         3975;       522;    49.48;    11.54;Pommelsbrunn-Mittelburg                                                         ;Bayern                                                                    
         3987;        81;    52.38;    13.06;Potsdam                                                                         ;Brandenburg                                                               
         4024;        40;    54.36;    13.48;Putbus                                                                          ;Mecklenburg-Vorpommern                                                    
         4032;       142;    51.80;    11.13;Quedlinburg                                                                     ;Sachsen-Anhalt                                                            
         4036;       204;    51.39;    11.54;Querfurt-Mühle Lodersleben                                                      ;Sachsen-Anhalt                                                            
         4039;        11;    53.73;     9.88;Quickborn                                                                       ;Schleswig-Holstein                                                        
         4063;        41;    52.45;     8.59;Rahden-Kleinendorf                                                              ;Nordrhein-Westfalen                                                       
         4094;       441;    47.81;     9.62;Weingarten, Kr. Ravensburg                                                      ;Baden-Württemberg                                                         
         4104;       365;    49.04;    12.10;Regensburg                                                                      ;Bayern                                                                    
         4127;       347;    50.99;     7.70;Reichshof-Eckenhagen                                                            ;Nordrhein-Westfalen                                                       
         4160;       478;    48.74;     8.92;Renningen-Ihinger Hof                                                           ;Baden-Württemberg                                                         
         4169;       131;    48.67;     7.99;Rheinau-Memprechtshofen                                                         ;Baden-Württemberg                                                         
         4175;       283;    47.56;     7.77;Rheinfelden                                                                     ;Baden-Württemberg                                                         
